title,price,location,URL
Remodeled studio w/ Bay View in prime Pacific Heights HARDWOOD FLOORS!,"2,850",pacific heights,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-studio-bay-view/7710633528.html
Don't miss out! Incredible move in deal on this 2 bed 1 bath!,"2,670",dublin / pleasanton / livermore,https://sfbay.craigslist.org/eby/apa/d/pleasanton-dont-miss-out-incredible/7711804687.html
Top Floor Apartment Available with Roof Access,"3,000",richmond / seacliff,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-apartment/7712458980.html
"FIRST FLOOR 1 bedroom||Spacious, View of Pool","2,394",milpitas,https://sfbay.craigslist.org/sby/apa/d/milpitas-first-floor-bedroomspacious/7712459191.html
SPACIOUS FLOOR PLANS WITH PATIOS AND BALCONIES,"2,633",santa rosa,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-spacious-floor-plans-with/7710214024.html
"Walking Distance to Lake Merritt, Historical Building, PET FRIENDLY!!","1,566",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-walking-distance-to-lake/7712459158.html
"Exciting Urban Living! - Trendy Loft, Downtown Oakland!","2,163",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-exciting-urban-living-trendy/7709608565.html
"A Must See, Shaker-style Cabinetry, Spa-inspired Baths","3,609",larkspur,https://sfbay.craigslist.org/nby/apa/d/greenbrae-must-see-shaker-style/7712459030.html
CHINATOWN - 3 Bedroom/1.5 Bathroom Apartment,"4,000",city of san francisco,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-chinatown-bedroom-15/7712459015.html
See what our residents are raving about!,"1,999",fairfield / vacaville,https://sfbay.craigslist.org/eby/apa/d/fairfield-see-what-our-residents-are/7708877489.html
"Right on public transit, for easy commuting! The Henley Apartment Homes","1,999",fairfield / vacaville,https://sfbay.craigslist.org/eby/apa/d/fairfield-right-on-public-transit-for/7707303825.html
"Valet parking, Bike Storage & Repair, Reception lobby bar and café","6,754",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-valet-parking-bike/7703577946.html
2368 Via Espada - 4 Bedroom - 2 Bath - 4th feb Now!,"4,250","2368 Via Espada, Pleasanton, CA",https://sfbay.craigslist.org/pen/apa/d/pleasanton-2368-via-espada-bedroom-bath/7712447936.html
"Studio/1B, Parking Type: Garage Lot, Underground Parking","3,345",palo alto,https://sfbay.craigslist.org/pen/apa/d/palo-alto-studio-1b-parking-type-garage/7711782762.html
"1/bd 1/ba, Washer and Dryer in Home, Balcony or Patio","2,240",concord / pleasant hill / martinez,https://sfbay.craigslist.org/eby/apa/d/pleasant-hill-bd-ba-washer-and-dryer-in/7711126010.html
Serene private mountain house 30 minutes from town,"2,900",los gatos,https://sfbay.craigslist.org/sby/apa/d/brookdale-serene-private-mountain-house/7705219835.html
CHINATOWN - Studio Apartment near Financial District & North Beach,"1,700",China Town,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-chinatown-studio/7712458566.html
Serene private house close to town,"2,900",boulder creek,https://sfbay.craigslist.org/scz/apa/d/brookdale-serene-private-house-close-to/7705217615.html
"Parking, Package Receiving, Swimming Pool","3,012",pacifica,https://sfbay.craigslist.org/pen/apa/d/daly-city-parking-package-receiving/7705849452.html
1/BD apt :: Mountain View area :: Spacious living room :: 6 WEEKS FREE,"2,495",mountain view,https://sfbay.craigslist.org/sby/apa/d/los-altos-bd-apt-mountain-view-area/7711150245.html
"Large Closets, Off-Leash Bark Parks, Lux Everywhere","3,911",sunnyvale,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-large-closets-off-leash-bark/7712458324.html
"1/BD 1/BA, Dishwasher, Located in Hayward","2,295",hayward / castro valley,https://sfbay.craigslist.org/eby/apa/d/hayward-bd-ba-dishwasher-located-in/7708425595.html
"Comes With Garage, Fitness Center, Window Coverings, Pet Friendly","3,405",fremont / union city / newark,https://sfbay.craigslist.org/eby/apa/d/fremont-comes-with-garage-fitness/7705653279.html
"TOP FLOOR CORNER 1x1 - Completely Modernized Unit, Incredibly Walkable","2,195",oakland piedmont / montclair,https://sfbay.craigslist.org/eby/apa/d/oakland-top-floor-corner-1x1-completely/7712452412.html
3x2 Unit - In A Beautiful Community Available Now!! Call Now To Tour!!,"2,895",santa clara,https://sfbay.craigslist.org/sby/apa/d/san-jose-3x2-unit-in-beautiful/7712458111.html
"Patio/Balcony, Dishwasher, 1bd 1ba.","2,045",berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-patio-balcony-dishwasher-1bd/7712454491.html
*UP TO 6 WEEKS OFF* Enjoy Luxurious Living in the 2BR/2BA Apartment!!,"4,900",downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-up-to-weeks-off-enjoy/7712457984.html
∆ ∆ ∆ Burlingame Garden Apartment ∆ ∆ ∆,"2,300",burlingame,https://sfbay.craigslist.org/pen/apa/d/san-mateo-burlingame-garden-apartment/7711498207.html
Rockridge studio - newly renovated,"1,975",oakland rockridge / claremont,https://sfbay.craigslist.org/eby/apa/d/oakland-rockridge-studio-newly-renovated/7712457800.html
5 bed 4 bath home,"6,500",oakland hills / mills,https://sfbay.craigslist.org/eby/apa/d/oakland-bed-bath-home/7712457762.html
1 Large Bedroom House,"2,000",richmond / point / annex,https://sfbay.craigslist.org/eby/apa/d/richmond-large-bedroom-house/7712457323.html
"Courtyard Settings, Blinds, Ceiling Fan","2,078",alameda,https://sfbay.craigslist.org/eby/apa/d/san-lorenzo-courtyard-settings-blinds/7709128922.html
"$7,400 / 4br - 1600ft2 - HOME 4 RENT / ORINDA $7400","7,400",lafayette / orinda / moraga,https://sfbay.craigslist.org/eby/apa/d/moraga-br-ft2-home-rent-orinda-7400/7703003888.html
Senior Community (62+) with Pool & Fitness Center!,"1,720",gilroy,https://sfbay.craigslist.org/sby/apa/d/gilroy-senior-community-62-with-pool/7708148753.html
"*/Charming 2BR/1BA Unit, Ideal Location, W/D, Parking, Pets OK.","1,850",daly city,https://sfbay.craigslist.org/pen/apa/d/daly-city-charming-2br-1ba-unit-ideal/7712449363.html
1 BD-Gated Senior Community,"1,720",gilroy,https://sfbay.craigslist.org/sby/apa/d/gilroy-bd-gated-senior-community/7708147673.html
Remodeled Studio at Peninsula Place w/Pool Includes Water and Garbage,"2,200",san bruno,https://sfbay.craigslist.org/pen/apa/d/san-bruno-remodeled-studio-at-peninsula/7712452194.html
_🔑 2 BED/1 BATH- GROUND FLOOR/SEC 8 READY!,"2,400",oakland east,https://sfbay.craigslist.org/eby/apa/d/oakland-bed-bath-ground-floor-sec-ready/7712456813.html
"1 month FREE! 2 bedroom, W/D, free parking, along The Alameda","3,666",san jose downtown,https://sfbay.craigslist.org/sby/apa/d/san-jose-month-free-bedroom-d-free/7712456484.html
271 Santa Clara :: Top Floor 2x1 w/ Balcony & Garage!,"2,395",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-271-santa-clara-top-floor-2x1/7712452172.html
"***** San Mateo, Rancher *****","4,850",san mateo,https://sfbay.craigslist.org/pen/apa/d/redwood-city-san-mateo-rancher/7705842664.html
SAVE 2 WEEKS FREE TODAY!! 1 Bedroom/ 1 Bathroom Sky Available!,"3,929",san jose south,https://sfbay.craigslist.org/sby/apa/d/san-jose-save-weeks-free-today-bedroom/7711846814.html
1 bedroom/1 bath  Alamo/Walnut Creek Border,"1,900",walnut creek,https://sfbay.craigslist.org/eby/apa/d/walnut-creek-bedroom-bath-alamo-walnut/7712456194.html
Beautiful Senior Community with Affordable Rates-1Bedroom,"1,720",gilroy,https://sfbay.craigslist.org/sby/apa/d/gilroy-beautiful-senior-community-with/7708149387.html
Studio available at Crown Colony!,"2,000",daly city,https://sfbay.craigslist.org/pen/apa/d/daly-city-studio-available-at-crown/7703809043.html
Studio Unit at Crown Colony!,"2,000",daly city,https://sfbay.craigslist.org/pen/apa/d/daly-city-studio-unit-at-crown-colony/7706291554.html
Studio available at Crown Colony,"2,200",daly city,https://sfbay.craigslist.org/pen/apa/d/daly-city-studio-available-at-crown/7711493585.html
COME FOR A VISIT. STAY FOIR A WHILE. HUIGE 2 BEDROOM AVAILABLE NOW,"3,472",cupertino,https://sfbay.craigslist.org/sby/apa/d/cupertino-come-for-visit-stay-foir/7710466930.html
"Leasing Now, Controlled Access, Cats and Dogs OK","3,196",mountain view,https://sfbay.craigslist.org/pen/apa/d/mountain-view-leasing-now-controlled/7712455555.html
2 bed 2 bath top floor condo for lease in Santa Clara.,"2,900",santa clara,https://sfbay.craigslist.org/sby/apa/d/santa-clara-bed-bath-top-floor-condo/7712455426.html
"Patio Storage, State of the Art Fitness Center","2,054",danville / san ramon,https://sfbay.craigslist.org/eby/apa/d/dublin-patio-storage-state-of-the-art/7712455402.html
Great Fully Furnished Studio-Livermore: Pet Friendly! Near Freeway!,"2,040",alameda,https://sfbay.craigslist.org/eby/apa/d/pleasanton-great-fully-furnished-studio/7712455301.html
Spacious One Bedroom Apartments Available Now!,"4,299",russian hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-one-bedroom/7712455284.html
"Located apartment located in Chinatown, near FIDI  & North","1,750",China Town,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-located-apartment-located/7712455095.html
"Visit Your New Home, City and Bay Views, Hardwood Floors","4,503",lower nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-visit-your-new-home-city/7712450192.html
"Elegant, contemporary,Laundry,Pets (2440 8th Ave #15)","2,250",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-elegant-contemporarylaundrypets/7712455073.html
"2ba Gorgeous Spacious Penthouse, Two Decks,W/D,Pet(366 Bellevue #402)","3,950",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-2ba-gorgeous-spacious-penthouse/7712454940.html
Freshly remodeled studio,"1,500",San Jose,https://sfbay.craigslist.org/sby/apa/d/san-jose-freshly-remodeled-studio/7712449181.html
"1st Floor 1BR/1BA,Deck,Shared laundry,Parking(366 Bellevue #106)","1,950",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-1st-floor-1br-1badeckshared/7712454805.html
"Swimming Pools, Cable Ready, Oak Cabinetry","2,595",san jose south,https://sfbay.craigslist.org/sby/apa/d/san-jose-swimming-pools-cable-ready-oak/7710411911.html
"2BR/1BA.Shared Laundry, Elevator,Pets(1918 Lakeshore#27)","2,450",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-2br-1bashared-laundry/7712454678.html
"Beautiful, fourth floor 2BR/1BA on Lake Merritt's(1918 Lakeshore #47)","2,450",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-beautiful-fourth-floor-2br-1ba/7712454553.html
1 Month Free!  Huge WFH Space!  Live/Work Loft!,"3,632",Emeryville,https://sfbay.craigslist.org/eby/apa/d/emeryville-month-free-huge-wfh-space/7712454435.html
Spacious Floor Plan,"4,000",Lafayette,https://sfbay.craigslist.org/eby/apa/d/lafayette-spacious-floor-plan/7712450299.html
"Shhh, its a secret! Select 2b2b are only $3585!! Stop by today!","3,585",fremont / union city / newark,https://sfbay.craigslist.org/eby/apa/d/fremont-shhh-its-secret-select-2b2b-are/7712454360.html
Brand New Senior Apartments OPEN HOUSE 1/30/24 & 2/2/24!!!,"1,598",danville / san ramon,https://sfbay.craigslist.org/eby/apa/d/dublin-brand-new-senior-apartments-open/7712441081.html
"2bd 2ba, Swimming Pool, Fitness Center","2,617",fremont / union city / newark,https://sfbay.craigslist.org/eby/apa/d/fremont-2bd-2ba-swimming-pool-fitness/7711121536.html
1 bedroom granny unit with yard and storage AVAILABLE NOW,"2,000",Santa Rosa near Coddingtown Mall,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-bedroom-granny-unit-with/7712454227.html
"Beautiful, lush landscaping, Exquisite Apartment Style Living.","3,255",fremont / union city / newark,https://sfbay.craigslist.org/eby/apa/d/fremont-beautiful-lush-landscaping/7712454211.html
fully renovated 2 bed 1 bath,"3,395",santa cruz,https://sfbay.craigslist.org/scz/apa/d/santa-cruz-fully-renovated-bed-bath/7712454143.html
"#341 ~ Modern Amenities, Smoke Free, Yoga Studio","4,294",foster city,https://sfbay.craigslist.org/pen/apa/d/san-mateo-341-modern-amenities-smoke/7712454086.html
THIS 3X1.5 APARTMENT HAS UPGRADED APPLIANCES,"3,778",san jose south,https://sfbay.craigslist.org/sby/apa/d/san-jose-this-3x15-apartment-has/7712454069.html
"Clubroom, Lease Today, Professionally Managed","4,412",danville / san ramon,https://sfbay.craigslist.org/eby/apa/d/danville-clubroom-lease-today/7712454038.html
Large Three Bedrooms Available/766 Sutter,"3,400",lower nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-three-bedrooms/7712450932.html
"in Milpitas CA, 1/BD, Hardwood Floors","2,375",milpitas,https://sfbay.craigslist.org/sby/apa/d/milpitas-in-milpitas-ca-bd-hardwood/7705600892.html
"Close to Dog Park, Spa/Hot Tub, 2 bedroom","3,587",san jose north,https://sfbay.craigslist.org/sby/apa/d/san-jose-close-to-dog-park-spa-hot-tub/7710434491.html
"Ground Floor 2 bedroom 1 bath! Apply Today, Let's Move You In!","2,513",dublin / pleasanton / livermore,https://sfbay.craigslist.org/eby/apa/d/pleasanton-ground-floor-bedroom-bath/7712453685.html
"Cable and High-Speed Internet Ready, On-Site Maintenance, Pet Wash","3,513",berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-cable-and-high-speed-internet/7712446556.html
"Remodeled,Pets Cons,Laundry,Pet considered(633 Alma#8)","2,350",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeledpets-conslaundrypet/7712453490.html
"Amazing 2 bed 2 baths, newly renovated, stainless steel appliances","3,809",sunnyvale,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-amazing-bed-baths-newly/7712453369.html
"1BR/1BA Cleveland Heights,Laundry,Pets(633 Alma #12)","2,150",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-1br-1ba-cleveland/7712453346.html
Furnished Studio - Great Monthly Rates!Take advantage of ou,"2,190",danville / san ramon,https://sfbay.craigslist.org/eby/apa/d/san-ramon-furnished-studio-great/7712453274.html
"2X2 - BEAUTIFUL, FULLY RENOVATED, SPACIOUS, AND PERFECTLY LOCATED!","3,600",campbell,https://sfbay.craigslist.org/sby/apa/d/campbell-2x2-beautiful-fully-renovated/7712453213.html
"Floor to Ceiling Windows, Extra Half Baths, Package Lockers","4,435",berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-floor-to-ceiling-windows-extra/7711098285.html
"Ideal Redwood City Location, Smart Home Tech, 6 weeks Free!","2,375",redwood city,https://sfbay.craigslist.org/pen/apa/d/redwood-city-ideal-redwood-city/7712453016.html
"Quiet, Bright, and Spacious - Top Floor Corner 2x1 w/ In-Unit W/D!","2,450",oakland east,https://sfbay.craigslist.org/eby/apa/d/oakland-quiet-bright-and-spacious-top/7712452975.html
"PIEDMONT 1x1! Bright, Spacious, Real Hardwood Flooring! Best Schools!","2,000",oakland piedmont / montclair,https://sfbay.craigslist.org/eby/apa/d/oakland-piedmont-1x1-bright-spacious/7712452900.html
Pool facing 2-bedroom apartment in quiet community,"4,200",menlo park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-pool-facing-bedroom/7711151501.html
"Situated in Castro Valley!, 2B/1B, Fitness center","2,505",hayward / castro valley,https://sfbay.craigslist.org/eby/apa/d/hayward-situated-in-castro-valley-2b-1b/7702927968.html
Telegraph Apts! Large 1x1 w/ New Kitchen & Bath - Tons of Storage!,"1,995",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-telegraph-apts-large-1x1-new/7712452825.html
"Private Patio or Balcony, Stackable Washer & Dryers, 2/BD","2,750",danville / san ramon,https://sfbay.craigslist.org/eby/apa/d/san-ramon-private-patio-or-balcony/7705599339.html
"Custom Cabinetry, Nighttime Courtesy Patrol, Studio 1/BA","2,353",redwood city,https://sfbay.craigslist.org/pen/apa/d/redwood-city-custom-cabinetry-nighttime/7711176554.html
2BR/1BA Apartment with Wood-Style Plank Flooring!,"3,073",san jose south,https://sfbay.craigslist.org/sby/apa/d/san-jose-2br-1ba-apartment-with-wood/7712452649.html
"Environmentally Friendly Community, Courtyard, Onsite Laundry",994,san jose south,https://sfbay.craigslist.org/sby/apa/d/san-jose-environmentally-friendly/7703161751.html
O&M DOGPATCH-WALKING DISTANCE TO 22ND ST. CAL-TRAIN & MUNI,"3,754",potrero hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-om-dogpatch-walking/7711823520.html
Cozy 1x1 w/ Fully Remodeled Kitchen! Walk-In Closet!,"1,650",emeryville,https://sfbay.craigslist.org/eby/apa/d/emeryville-cozy-1x1-fully-remodeled/7712452604.html
One Bedroom Upstairs Available March 12. 24 to rent and to tour!,"2,123",dublin / pleasanton / livermore,https://sfbay.craigslist.org/eby/apa/d/pleasanton-one-bedroom-upstairs/7711841591.html
"Convenient 2 Bedroom+Bonus Room, 1.5 Baths, Laundry/Private Deck/Yard","3,400",berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-convenient-bedroombonus-room/7704156417.html
BIG Savings! 6 WEEKS ON US!!,"2,880",campbell,https://sfbay.craigslist.org/sby/apa/d/campbell-big-savings-weeks-on-us/7712452409.html
"XL living room & dining room, breakfast bar, w/d, XL bathtub","4,455",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-xl-living-room-dining/7712452397.html
Walk to Bart!!!,"2,093",walnut creek,https://sfbay.craigslist.org/eby/apa/d/walnut-creek-walk-to-bart/7702727874.html
Brand new Studio including W/D available,950,Lower Pacific Heights,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-studio/7712447953.html
"All New, Business Lounge, Built In Workspace, 93 Walk Score","2,847",san jose downtown,https://sfbay.craigslist.org/sby/apa/d/san-jose-all-new-business-lounge-built/7712452255.html
"No one above or below, no Carpet! In unit Laundry, Call Now!","2,525",san mateo,https://sfbay.craigslist.org/pen/apa/d/san-mateo-no-one-above-or-below-no/7712449130.html
Sebastopol Country Cottage,"3,100",sebastopol,https://sfbay.craigslist.org/nby/apa/d/sebastopol-sebastopol-country-cottage/7705648703.html
"Contemporary, third flr 1BR/1BA with Hardwood Floors,(315 Wayne #314)","2,095",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-contemporary-third-flr-1br-1ba/7712451860.html
"Walker paradise! Close to Central Park, Downtown San Mateo, Mins to FW","3,525",san mateo,https://sfbay.craigslist.org/pen/apa/d/san-mateo-walker-paradise-close-to/7712448374.html
"Contemporary 1BR/1BA ,Pets OK,Parking available (315 Wayne Place #108)","2,095",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-contemporary-1br-1ba-pets/7712451719.html
"Dishwasher, In Livermore, 1B/1B","2,427",dublin / pleasanton / livermore,https://sfbay.craigslist.org/eby/apa/d/livermore-dishwasher-in-livermore-1b-1b/7710439882.html
"LARGE TOP FLOOR 2 Bedroom w/Parking, Storage, Laundry | PETS OK!","2,200",oakland hills / mills,https://sfbay.craigslist.org/eby/apa/d/oakland-large-top-floor-bedroom-parking/7704194312.html
"1/bd 1/ba, in San Jose CA, Controlled Access","2,733",alameda,https://sfbay.craigslist.org/eby/apa/d/san-jose-bd-ba-in-san-jose-ca/7709451363.html
"Modern, second floor 1BR/1BA,Private deck ,Sh laundry (315 Wayne #211)","2,095",oakland downtown,https://sfbay.craigslist.org/eby/apa/d/oakland-modern-second-floor-1br/7712451607.html
"LARGE 1 BEDROOM w/SECURE ENTRY, DINING + LAUNDRY -- WALKER'S PARADISE!","2,395",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-large-bedroom-secure-entry/7708189338.html
"1st Floor 1BR/1BA , Laundry, Parking Available (166 Athol #107)","2,150",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-1st-floor-1br-1ba-laundry/7712451479.html
Large Remodeled Three Bedrooms,"4,295",San Francisco,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-remodeled-three/7710539692.html
"Second floor  1BR/1BA,Laundry,Pkg Avail(166 Athol #207)","2,150",oakland lake merritt / grand,https://sfbay.craigslist.org/eby/apa/d/oakland-second-floor-1br-1balaundrypkg/7712451285.html
Quiet Sunny 2Bd Apt Steps from Giant's Stadium *inquire about specials,"4,980",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-sunny-2bd-apt-steps/7712451200.html
Newly Renovated One Bedroom/500 Leavenworth,"2,000",downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-renovated-one/7710161085.html
Top Floor - Contemporary - 2 bedroom 2 bath  ~ J.Wavro,"3,200",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-contemporary/7710935932.html
1x1 Apartment For Lease With Park Like View,"2,358",san jose south,https://sfbay.craigslist.org/sby/apa/d/san-jose-1x1-apartment-for-lease-with/7712451112.html
Gorgeous 1 Bed 1 Bath- Roof View! ~ J.Wavro,"2,700",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-bed-bath-roof/7710936790.html
"Outdoor BBQ, Custom Wood Cabinetry, Large Closets","2,342",berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-outdoor-bbq-custom-wood/7711541840.html
1+ Bedroom 2.5 bath Loft w/ parking ~ J.Wavro,"3,995",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-25-bath-loft/7710938385.html
Completely Remodeled - Top Floor 3+ bedroom 3.5 bath ~ J.Wavro,"11,000",marina / cow hollow,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-completely-remodeled-top/7710949190.html
Beautifully updated 3/2 home in Woodside Plaza $6300.00,"6,300",redwood city,https://sfbay.craigslist.org/pen/apa/d/redwood-city-beautifully-updated-2-home/7712451041.html
Large 2 bedroom top floor flat w/ parking ~ J.Wavro,"6,500",marina / cow hollow,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-bedroom-top-floor/7710949853.html
Grand Residence - 2+ bed 3 bath w/ Amazing Views! ~ J.Wavro,"18,000",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-grand-residence-bed-bath/7710950843.html
Spectacular 2 bedroom with panoramic views ~ J.Wavro,"8,500",nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-bedroom-with/7710951519.html
1 Bedroom 1 Bath with Parking ~ J.Wavro,"3,650",nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-bath-with-parking/7710952206.html
VIEW TO THE BAY Large 2Br 2Ba with Pool,"3,150",Greenbrae,https://sfbay.craigslist.org/nby/apa/d/greenbrae-view-to-the-bay-large-2br-2ba/7712450795.html
Great single family home in a fantastic Noe Valley location ~ J.Wavro,"12,000",noe valley,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-single-family-home/7711040431.html
"Swimming Pool & Sundeck, Gated Electronic Entrance, Studio","3,481",palo alto,https://sfbay.craigslist.org/pen/apa/d/palo-alto-swimming-pool-sundeck-gated/7712448751.html
"Custom Designed Home - 4 bed, 3.5 bath w/ Ocean Views ~ J.Wavro","15,000",west portal / forest hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-custom-designed-home-bed/7711052673.html
Fantastic Millennium Residence - Large 2+ bed 2 bath  ~ J.Wavro,"8,000",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-millennium/7711057159.html
UCB OFF-CAMPUS FURNISHED ACADEMICS HOME,"2,199",berkeley,https://sfbay.craigslist.org/eby/apa/d/berkeley-ucb-off-campus-furnished/7712449539.html
Remodeled Efficiency Studio/887 Bush,"1,500",nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-efficiency/7712450677.html
"Walk-in Closets, 24-Hour Fitness Center, Central Heating","2,375",alameda,https://sfbay.craigslist.org/eby/apa/d/emeryville-walk-in-closets-24-hour/7711100703.html
Remodeled One Bedroom/1246 Bush st,"2,100",lower nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-one-bedroom/7712450570.html
Amazing Space - Huge Open Interiors - Come Home Today!,"4,076",emeryville,https://sfbay.craigslist.org/eby/apa/d/emeryville-amazing-space-huge-open/7712450565.html
Gated 2-Story 1 Bedroom Loft-Style w/Internet Included +MORE,"2,295",oakland hills / mills,https://sfbay.craigslist.org/eby/apa/d/oakland-gated-story-bedroom-loft-style/7711504446.html
"1/BD 1/BA, In Sunnyvale, Parking Type: Covered Lot","2,745",sunnyvale,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-bd-ba-in-sunnyvale-parking/7708902152.html
Large Remodeled Studio/765 Sutter,"1,700",lower nob hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-remodeled-studio/7712450440.html
Beautiful Art Deco full floor flat. Approximately.1600 sf! ~ J.Wavro,"4,425",marina / cow hollow,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-art-deco-full/7709156123.html
Remodeled Victorian - single family home with 3 car garage! ~ J.Wavro,"9,600",lower haight,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-victorian/7710926412.html
Luxury Soma Grand condo! Amazing City Skyline & Bay Views!  ~ J.Wavro,"3,700",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxury-soma-grand-condo/7710927971.html
